City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Bubaque,GW,11.2833,-15.8333,78.64,76,58,14.85,broken clouds
Tongliao,CN,43.6125,122.2653,49.51,70,16,7.25,few clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,66,40,6.91,scattered clouds
Guaruja,BR,-23.9931,-46.2564,86.16,57,90,4.61,overcast clouds
Cap Malheureux,MU,-19.9842,57.6142,73.89,80,5,1.99,clear sky
Moron,AR,-34.6534,-58.6198,68.0,37,0,16.11,clear sky
Tarpon Springs,US,28.1461,-82.7568,94.06,60,40,1.99,scattered clouds
Umm Lajj,SA,25.0213,37.2685,87.53,44,0,7.18,clear sky
Mangan,IN,27.5167,88.5333,73.6,97,100,1.07,overcast clouds
Ryotsu,JP,38.0833,138.4333,57.65,77,100,5.01,light rain
Hauterive,FR,46.0901,3.4459,66.2,52,40,14.97,scattered clouds
Iracoubo,GF,5.4802,-53.2011,80.89,82,100,10.02,heavy intensity rain
Inuvik,CA,68.3499,-133.7218,32.86,69,90,12.66,overcast clouds
Inta,RU,66.0317,60.1659,37.18,51,18,9.57,few clouds
Ferkessedougou,CI,9.6,-5.2,88.34,45,95,5.06,overcast clouds
Luanda,AO,-8.8368,13.2343,78.8,89,20,6.91,few clouds
Mount Gambier,AU,-37.8333,140.7667,50.0,100,75,9.22,light rain
Ambovombe,MG,-25.1667,46.0833,67.66,87,1,6.98,clear sky
Shimoda,JP,34.6667,138.95,64.0,69,100,1.99,moderate rain
Saint George,US,37.1041,-113.5841,87.01,11,1,6.91,clear sky
Nea Peramos,GR,38.0076,23.423,79.81,57,0,1.63,clear sky
Luderitz,NA,-26.6481,15.1594,63.55,71,33,6.82,scattered clouds
Agadez,NE,19.75,10.25,86.68,5,1,2.48,clear sky
Port Blair,IN,11.6667,92.75,83.37,82,100,16.33,light rain
Batemans Bay,AU,-35.7167,150.1833,48.9,76,0,5.28,clear sky
Shakawe,BW,-18.3667,21.85,59.52,42,0,4.74,clear sky
Zambezi,ZM,-13.5432,23.1047,58.95,48,0,5.41,clear sky
Camacari,BR,-12.6975,-38.3242,82.4,65,40,11.5,scattered clouds
Sulphur,US,30.2366,-93.3774,87.76,67,75,6.15,broken clouds
Brattleboro,US,42.8509,-72.5579,92.77,51,68,3.0,broken clouds
Sai Buri,TH,6.7013,101.6168,78.44,86,100,3.62,moderate rain
Provost,CA,52.3501,-110.2683,59.45,45,15,12.37,few clouds
Mayo,US,38.8876,-76.5119,96.08,68,75,3.0,broken clouds
Rangapara,IN,26.8167,92.65,75.36,99,100,3.02,overcast clouds
Marawi,PH,7.9986,124.2928,75.0,94,95,2.24,overcast clouds
Talaya,RU,61.3833,152.75,37.9,84,100,6.26,overcast clouds
Moyale,KE,3.5167,39.0584,67.86,61,31,3.71,scattered clouds
Matara,LK,5.9485,80.5353,79.72,86,86,16.42,overcast clouds
Caravelas,BR,-17.7125,-39.2481,75.31,90,42,6.33,scattered clouds
Nome,US,64.5011,-165.4064,62.67,17,1,9.22,clear sky
Pontal Do Parana,BR,-25.6533,-48.5128,68.0,49,75,4.61,broken clouds
Vardo,NO,70.3705,31.1107,39.4,70,75,5.75,broken clouds
Bilibino,RU,68.0546,166.4372,41.4,58,99,5.1,overcast clouds
Ngunguru,NZ,-35.6167,174.5,45.0,90,2,8.14,clear sky
Los Llanos De Aridane,ES,28.6585,-17.9182,65.12,75,75,15.05,broken clouds
Southbridge,US,42.0751,-72.0334,93.0,52,67,4.0,broken clouds
Tromso,NO,69.6496,18.957,46.4,61,0,14.97,clear sky
Northam,GB,51.0333,-4.2167,59.02,77,10,8.03,clear sky
Kununurra,AU,-15.7667,128.7333,75.2,57,97,8.05,overcast clouds
Cassilandia,BR,-19.1133,-51.7342,86.22,31,0,2.98,clear sky
Poltava,UA,49.5937,34.5407,65.19,69,95,3.62,overcast clouds
Batamshinskiy,KZ,50.5594,58.2747,66.18,63,3,8.46,clear sky
Jacksonville,US,30.3322,-81.6556,96.12,46,40,1.01,scattered clouds
Nuuk,GL,64.1835,-51.7216,41.61,70,75,12.66,broken clouds
Trnava,SK,48.3774,17.5872,62.78,79,80,5.44,broken clouds
Katherine,AU,-14.4667,132.2667,66.2,63,85,8.05,overcast clouds
Launceston,AU,-41.45,147.1667,48.79,90,40,5.37,scattered clouds
Morehead,US,37.2711,-87.1764,72.14,97,90,6.91,overcast clouds
Challapata,BO,-18.9,-66.7667,50.97,52,78,10.45,broken clouds
Panorama,GR,40.5878,23.0315,72.32,50,20,3.44,few clouds
Uaua,BR,-9.8414,-39.4817,86.67,37,0,18.95,clear sky
Coos Bay,US,43.3665,-124.2179,65.86,77,75,5.75,broken clouds
Pinos,MX,22.3,-101.5667,67.19,28,6,10.16,clear sky
Lavrentiya,RU,65.5833,-171.0,35.24,74,6,12.08,clear sky
Tokur,RU,53.1333,132.9,34.03,87,100,1.52,overcast clouds
Palmer,US,42.1584,-72.3287,92.25,49,20,5.99,few clouds
Luau,AO,-10.7073,22.2247,62.37,49,0,5.01,clear sky
Grindavik,IS,63.8424,-22.4338,52.56,76,75,32.01,broken clouds
Ouallam,NE,14.3188,2.0866,97.83,13,3,3.76,clear sky
Rawson,AR,-43.3002,-65.1023,55.62,54,100,16.15,overcast clouds
Pierre,US,44.3683,-100.351,54.52,76,90,4.61,overcast clouds
Roebourne,AU,-20.7833,117.1333,72.14,52,14,15.86,few clouds
Bouillante,GP,16.1304,-61.7692,87.03,59,0,10.36,clear sky
Livramento,BR,-3.0254,-60.1803,90.28,62,40,3.65,scattered clouds
Kyra,RU,49.5776,111.9753,39.97,84,100,5.46,overcast clouds
Houston,US,29.7633,-95.3633,89.33,68,75,4.0,broken clouds
Salamanca,ES,40.8333,-6.0,74.98,46,31,6.17,scattered clouds
Teplyk,UA,48.6657,29.745,57.67,94,40,4.88,scattered clouds
Opuwo,NA,-18.0607,13.84,64.72,34,0,8.43,clear sky
Pringsewu,ID,-5.3582,104.9744,74.37,97,54,1.07,broken clouds
Dicabisagan,PH,17.0818,122.4157,79.79,84,92,5.77,overcast clouds
Itoman,JP,26.1247,127.6694,80.98,89,20,13.8,few clouds
Camocim,BR,-2.9022,-40.8411,86.97,62,20,9.46,few clouds
Zhangye,CN,38.9342,100.4517,65.21,20,23,5.59,few clouds
Sault Sainte Marie,CA,46.5168,-84.3333,55.4,50,90,24.16,overcast clouds
Wanning,CN,18.8003,110.3967,81.63,85,95,9.51,overcast clouds
Aguada De Pasajeros,CU,22.385,-80.8508,89.6,55,75,5.75,broken clouds
Biloxi,US,30.396,-88.8853,87.8,56,40,10.36,scattered clouds
Djenne,ML,13.9061,-4.5533,97.03,27,93,17.09,overcast clouds
Sale,MA,34.0389,-6.8166,71.64,60,100,5.75,overcast clouds
Kampot,KH,10.6167,104.1833,78.94,88,100,7.05,overcast clouds
Pordim,BG,43.3833,24.85,68.76,92,100,4.45,light rain
Swellendam,ZA,-34.0226,20.4417,52.18,68,100,2.48,overcast clouds
Bucerias,MX,20.75,-105.3333,84.18,58,1,9.69,clear sky
Olafsvik,IS,64.8945,-23.7142,47.52,83,54,9.91,broken clouds
Sakakah,SA,29.9697,40.2064,91.4,10,0,4.61,clear sky
Tigre,AR,-34.426,-58.5796,68.0,45,0,14.97,clear sky
Deputatskiy,RU,69.3,139.9,40.5,76,100,5.3,overcast clouds
Mairang,IN,25.5667,91.6333,77.0,88,75,3.04,mist
Elizabeth City,US,36.2946,-76.2511,91.0,48,1,8.05,clear sky
Sinazongwe,ZM,-17.2614,27.4618,65.5,49,0,3.78,clear sky
Kargasok,RU,59.0556,80.8572,50.16,91,100,18.07,heavy intensity rain
Aranos,NA,-24.1333,19.1167,62.49,28,66,9.98,broken clouds
Huarmey,PE,-10.0681,-78.1522,72.52,73,11,9.66,few clouds
Beirut,LB,33.8889,35.4944,76.86,73,0,2.3,clear sky
Mattru,SL,7.6244,-11.8332,78.39,92,93,5.32,overcast clouds
Tomigusuku,JP,26.185,127.675,80.73,89,20,13.8,few clouds
Kotli Loharan,PK,32.5883,74.4932,89.49,27,0,6.31,clear sky
Bannu,PK,32.9854,70.6027,92.1,22,0,1.21,clear sky
Paraiso,CR,9.8383,-83.8656,74.26,96,100,2.86,light rain
Naze,JP,28.3667,129.4833,76.01,90,70,20.94,broken clouds
Yar-Sale,RU,66.8333,70.8333,32.27,69,3,9.8,clear sky
Kongolo,CD,-5.3833,27.0,74.35,57,5,3.36,clear sky
Bonthe,SL,7.5264,-12.505,82.51,79,100,7.47,overcast clouds
Linqiong,CN,30.4159,103.4609,69.62,71,100,1.25,overcast clouds
Tatawin,TN,32.9297,10.4518,81.48,36,91,12.55,overcast clouds
Upata,VE,8.0086,-62.3989,78.19,89,100,4.14,overcast clouds
Dali,CN,25.7,100.1833,63.05,88,47,4.65,scattered clouds
Khiri Mat,TH,16.8333,99.8,84.0,37,100,4.36,overcast clouds
Lapua,FI,62.9693,23.0088,53.31,79,100,13.82,overcast clouds
Leningradskiy,RU,69.3833,178.4167,31.37,84,37,7.23,scattered clouds
Beloha,MG,-25.1667,45.05,65.71,91,0,7.4,clear sky
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.99,73,5,11.27,clear sky
Kapoeta,SS,4.7717,33.5903,82.89,40,41,13.04,scattered clouds
Shishou,CN,29.7226,112.419,64.81,95,77,6.26,light rain
Maryville,US,35.7565,-83.9705,88.66,42,75,1.99,broken clouds
Ola,RU,59.5833,151.2833,39.7,83,100,3.71,overcast clouds
Byron Bay,AU,-28.65,153.6167,58.89,81,18,11.48,few clouds
Gangapur,IN,26.4833,76.7167,93.38,18,36,3.02,scattered clouds
Polyarnyy,RU,69.1989,33.4478,39.67,69,24,5.23,few clouds
Ostrovnoy,RU,68.0531,39.5131,36.19,66,12,0.94,few clouds
Tiznit,MA,29.5833,-9.5,63.27,72,3,7.29,clear sky
Tutoia,BR,-2.7619,-42.2744,93.18,60,42,4.07,scattered clouds
Borogontsy,RU,62.6683,131.1683,44.42,96,100,2.13,overcast clouds
Warri,NG,5.5167,5.75,78.42,89,100,4.76,overcast clouds
Port-Cartier,CA,50.0334,-66.8654,45.75,97,100,7.92,overcast clouds
Lasa,IT,46.6166,10.7002,63.48,95,84,2.75,broken clouds
Isangel,VU,-19.55,169.2667,70.29,76,1,5.26,clear sky
Okha,RU,53.5739,142.9478,31.57,86,18,7.34,few clouds
Dawlatabad,AF,36.4141,64.9053,83.93,12,0,4.72,clear sky
Avigliana,IT,45.0771,7.3986,67.8,53,96,1.01,overcast clouds
Bonavista,CA,48.6499,-53.1147,46.4,89,100,11.27,overcast clouds
Nagua,DO,19.3832,-69.8474,88.11,58,40,10.36,scattered clouds
Melita,CA,49.2681,-100.9967,46.99,50,93,5.99,overcast clouds
Sayyan,YE,15.1718,44.3244,68.76,21,14,4.76,few clouds
Agua Prieta,MX,31.3,-109.5667,89.8,8,38,12.15,scattered clouds
Notodden,NO,59.5594,9.2585,54.0,93,100,4.36,light rain
Baglung,NP,28.2719,83.5898,71.58,84,100,1.5,overcast clouds
Bialogard,PL,54.007,15.9875,57.74,94,15,8.77,few clouds
Cuenca,EC,-2.8833,-78.9833,68.0,49,75,10.36,light rain
Bud,US,39.447,-86.1758,78.22,79,100,10.47,overcast clouds
Leh,IN,34.1667,77.5833,45.34,36,0,3.98,clear sky
Griffith,US,41.5284,-87.4237,82.04,49,1,5.01,clear sky
Durazno,UY,-33.4131,-56.5006,66.15,52,0,13.8,clear sky
Sur,OM,22.5667,59.5289,93.67,39,5,10.42,clear sky
Beidao,CN,34.5686,105.8933,59.32,35,95,3.44,overcast clouds
Zarubino,RU,42.63,131.0922,48.42,95,100,8.57,light rain
Povenets,RU,62.8487,34.8262,44.56,64,100,11.86,light rain
Yuci,CN,37.6803,112.7319,51.55,62,0,4.27,clear sky
Mandla,IN,22.6,80.3833,83.12,51,100,2.62,overcast clouds
Phalodi,IN,27.1333,72.3667,92.7,42,6,21.65,clear sky
Umea,SE,63.8284,20.2597,51.8,62,0,13.8,clear sky
Atagay,RU,55.1033,99.3875,36.72,71,0,2.28,clear sky
Dakar,SN,14.6937,-17.4441,81.48,83,6,13.8,clear sky
Flin Flon,CA,54.7682,-101.865,39.04,41,1,4.79,clear sky
East Stroudsburg,US,40.9995,-75.1813,89.4,57,5,12.15,clear sky
Otradnoye,RU,59.7775,30.8181,50.05,96,24,4.97,few clouds
Sinnamary,GF,5.3833,-52.95,82.26,79,92,9.24,heavy intensity rain
Verkh-Usugli,RU,52.7,115.1667,36.82,89,97,2.44,light rain
Fallon,US,39.4735,-118.7774,69.42,30,40,4.61,scattered clouds
Quijingue,BR,-10.7525,-39.2092,80.08,57,100,6.85,overcast clouds
Evensk,RU,61.95,159.2333,37.87,96,100,16.53,overcast clouds
Lazurne,UA,46.084,32.5295,64.99,100,6,1.01,clear sky
Omboue,GA,-1.5746,9.2618,77.76,91,100,8.5,overcast clouds
Rawlins,US,41.7911,-107.2387,70.34,17,1,23.26,clear sky
Bhachau,IN,23.2833,70.35,84.43,75,15,17.0,few clouds
Adrar,MR,20.5022,-10.0711,96.04,16,0,9.04,clear sky
George Town,MY,5.4112,100.3354,83.89,86,20,1.14,few clouds
San Rafael,AR,-34.6177,-68.3301,70.52,17,45,1.77,scattered clouds
Sao Paulo De Olivenca,BR,-3.3783,-68.8725,76.44,97,100,2.68,overcast clouds
Quang Ngai,VN,15.1167,108.8,76.71,90,13,4.85,few clouds
Bambari,CF,5.768,20.6757,70.54,95,100,8.3,moderate rain
Seoul,KR,37.5683,126.9778,62.2,63,75,6.87,broken clouds
Mezen,RU,65.8522,44.24,33.06,76,9,5.41,clear sky
Xuddur,SO,4.1213,43.8894,74.23,70,73,10.69,broken clouds
Kerouane,GN,9.2667,-9.0167,81.63,57,27,2.68,scattered clouds
Diego De Almagro,CL,-26.3667,-70.05,83.84,8,100,7.78,overcast clouds
Ust-Kut,RU,56.7938,105.7672,35.19,80,100,8.88,overcast clouds
Kyren,RU,51.6828,102.1408,39.43,87,11,1.77,few clouds
Khasan,RU,42.4308,130.6434,49.73,93,100,2.33,moderate rain
Camacha,PT,33.0833,-16.3333,63.82,63,75,13.8,broken clouds
Ondjiva,AO,-17.0667,15.7333,63.36,33,0,6.87,clear sky
Avera,US,33.194,-82.5271,93.94,31,50,9.33,scattered clouds
Tuatapere,NZ,-46.1333,167.6833,42.82,87,100,7.63,overcast clouds
Wuda,CN,39.4994,106.7117,64.83,16,0,7.47,clear sky
Mantua,IT,45.1667,10.7833,71.01,52,0,4.61,clear sky
Shache,CN,38.4167,77.2406,71.38,13,7,7.16,clear sky
Independencia,BR,-5.3964,-40.3086,90.27,28,22,10.33,few clouds
Severnoye,RU,56.3491,78.3619,66.63,65,100,12.77,overcast clouds
The Pas,CA,53.8251,-101.2541,39.22,52,1,4.45,clear sky
Saravan,AM,39.7196,45.6483,57.85,81,21,5.7,few clouds
Koumac,NC,-20.5667,164.2833,67.08,68,31,8.14,scattered clouds
Basco,PH,20.4487,121.9702,84.85,77,15,11.36,few clouds
Macae,BR,-22.3708,-41.7869,78.55,69,40,12.66,scattered clouds
Namibe,AO,-15.1961,12.1522,74.91,74,0,3.42,clear sky
Xingyi,CN,24.1877,102.817,58.05,91,95,5.08,overcast clouds
Sioux Lookout,CA,50.1001,-91.917,41.38,56,75,11.5,broken clouds
Uige,AO,-7.6087,15.0613,68.86,56,6,3.38,clear sky
Spring Hill,US,28.4769,-82.5255,93.06,54,75,4.0,broken clouds
Les Cayes,HT,18.2,-73.75,84.27,70,61,10.42,broken clouds
Idenao,CM,4.2475,9.0047,76.44,89,100,3.44,light rain
Gondanglegi,ID,-7.7479,112.0132,73.94,85,100,3.67,overcast clouds
Damara,CF,4.9608,18.7035,89.6,51,20,3.44,few clouds
Murray Bridge,AU,-35.1167,139.2667,52.0,91,11,7.78,few clouds
Da Nang,VN,16.0678,108.2208,82.38,83,20,4.61,few clouds
Hearst,CA,49.6835,-83.6665,39.45,45,100,16.46,overcast clouds
Bafq,IR,31.6128,55.4107,78.21,26,0,11.61,clear sky
Cairns,AU,-16.9167,145.7667,66.2,94,40,12.66,scattered clouds
Zharkovskiy,RU,55.849,32.2697,48.99,87,6,3.98,clear sky
Okhotsk,RU,59.3833,143.3,38.01,84,94,5.46,overcast clouds
Yaan,NG,7.3833,8.5667,84.69,62,92,10.29,overcast clouds
Kysyl-Syr,RU,63.8986,122.7617,50.14,71,100,2.44,overcast clouds
Koutsouras,GR,35.0339,25.9469,74.88,57,0,6.13,clear sky
Zapolyarnyy,RU,69.4154,30.8136,39.2,56,75,4.61,broken clouds
Safaga,EG,26.7292,33.9365,87.75,41,0,2.35,clear sky
San Juan,AR,-31.5375,-68.5364,80.73,16,0,4.63,clear sky
Fort Nelson,CA,58.8053,-122.7002,46.4,76,90,2.3,overcast clouds
Jiuquan,CN,39.7432,98.5174,67.01,15,5,10.07,clear sky
Maiduguri,NG,11.8464,13.1603,93.15,6,2,10.25,clear sky
Kutum,SD,14.2,24.6667,74.57,51,88,9.6,overcast clouds
Shitanjing,CN,39.2342,106.3439,63.09,16,0,14.88,clear sky
Berezhany,UA,49.45,24.9333,62.22,85,6,5.73,clear sky
Anadyr,RU,64.75,177.4833,48.7,37,0,8.19,clear sky
Nirasaki,JP,35.7,138.45,62.47,82,100,1.25,overcast clouds
Faya,SA,18.3851,42.4509,71.71,46,4,1.92,clear sky
Zhuhai,CN,22.2769,113.5678,84.11,84,20,8.75,few clouds
Khanu Woralaksaburi,TH,16.0617,99.8606,80.67,80,100,2.48,overcast clouds
Pangoa,PE,-12.1167,-73.0,82.94,50,100,3.71,overcast clouds
Kamaishi,JP,39.2667,141.8833,54.91,68,100,5.5,overcast clouds
Chinhoyi,ZW,-17.3667,30.2,54.79,47,0,3.83,clear sky
Awjilah,LY,29.1081,21.2869,89.73,10,0,9.75,clear sky
Broome,US,42.2506,-75.833,88.18,56,20,3.0,few clouds
Muzhi,RU,65.3667,64.6667,40.03,52,100,7.38,overcast clouds
Reading,GB,51.4562,-0.9711,59.41,64,75,4.34,broken clouds
Lerwick,GB,60.1545,-1.1494,48.2,86,100,19.06,overcast clouds
Alcains,PT,39.9164,-7.4566,78.57,39,91,7.05,overcast clouds
Anastacio,BR,-20.4836,-55.8069,93.04,30,9,5.82,clear sky
Atambua,ID,-9.1061,124.8925,70.92,86,52,6.96,broken clouds
Komsomolskiy,UZ,40.4272,71.7189,72.82,35,80,5.39,broken clouds
Rio Gallegos,AR,-51.6226,-69.2181,42.85,49,75,12.66,light rain
Hami,CN,42.8,93.45,77.81,13,0,6.76,clear sky
Agua Verde,MX,22.9,-106.05,86.09,52,71,10.65,broken clouds
Elko,US,41.0002,-115.5012,61.0,27,1,8.05,clear sky
Sabinas,MX,27.85,-101.1167,93.18,41,2,12.26,clear sky
Noumea,NC,-22.2763,166.4572,70.0,88,0,8.05,clear sky
Tecoanapa,MX,16.5167,-98.75,88.39,46,100,8.3,overcast clouds
Birao,CF,10.2849,22.7882,80.85,58,98,2.93,overcast clouds
Alekseyevskoye,RU,55.3071,50.1135,56.08,77,1,6.13,clear sky
Diamantino,BR,-14.4086,-56.4461,90.75,42,21,2.86,few clouds
Sibolga,ID,1.7427,98.7792,78.12,89,100,3.91,light rain
Sorland,NO,67.667,12.6934,44.67,82,27,23.51,scattered clouds
Alugan,PH,12.2188,125.4808,80.2,83,29,6.13,scattered clouds
Seara,PT,41.1818,-7.8003,74.95,52,27,5.46,scattered clouds
Parana,AR,-31.732,-60.5238,73.99,38,7,7.0,clear sky
Lichinga,MZ,-13.3128,35.2406,55.49,82,0,5.75,clear sky
Beyneu,KZ,45.3167,55.2,87.1,20,44,16.67,scattered clouds
San Quintin,MX,30.4833,-115.95,68.45,62,99,10.54,overcast clouds
Saint-Leu,RE,-21.15,55.2833,73.4,83,90,5.75,light rain
Crepy-En-Valois,FR,49.2336,2.8881,57.33,79,100,5.14,overcast clouds
Muroto,JP,33.2833,134.15,61.47,88,100,18.77,heavy intensity rain
Mikhaylovka,RU,50.06,43.2379,59.97,66,99,7.34,overcast clouds
Alice Town,BS,25.7167,-79.3,77.34,72,26,13.53,scattered clouds
Ebbs,AT,47.6333,12.2167,57.02,67,100,1.23,overcast clouds
Iquitos,PE,-3.7481,-73.2472,86.04,66,75,4.61,broken clouds
Porbandar,IN,21.6422,69.6093,84.94,72,100,17.81,overcast clouds
Yichun,CN,47.7,128.9,38.7,85,50,1.83,scattered clouds
Hay River,CA,60.8156,-115.7999,49.98,32,75,12.66,broken clouds
Nyandoma,RU,61.669,40.1991,36.09,82,100,7.58,overcast clouds
Gamba,GA,-2.65,10.0,77.94,91,100,5.68,overcast clouds
Charleston,US,32.7766,-79.9309,92.32,69,1,4.0,clear sky
Sangre Grande,TT,10.5835,-61.1177,86.94,70,100,8.99,overcast clouds
Nelspruit,ZA,-25.4745,30.9703,66.49,45,0,4.14,clear sky
Kurilsk,RU,45.2333,147.8833,37.11,94,100,10.25,overcast clouds
Farah,AF,32.5,62.5,84.58,12,0,1.95,clear sky
Teknaf,BD,20.8624,92.3058,81.64,82,41,17.16,scattered clouds
Nanakuli,US,21.3906,-158.1547,81.03,69,1,6.22,clear sky
Victoria,HK,22.2855,114.1577,86.0,84,75,11.14,broken clouds
Sola,VU,-13.8833,167.55,66.87,88,40,0.0,scattered clouds
Palmas Bellas,PA,9.2319,-80.0867,84.0,80,100,1.99,overcast clouds
Louis Trichardt,ZA,-23.0439,29.9032,58.46,43,0,2.93,clear sky
Kalengwa,ZM,-13.4659,25.0027,57.02,46,0,5.46,clear sky
The Valley,AI,18.217,-63.0578,85.86,65,40,16.11,scattered clouds
Kitgum,UG,3.2783,32.8867,67.39,93,100,1.54,light rain
Davila,PH,18.4726,120.5763,78.78,78,69,0.18,broken clouds
Otukpo,NG,7.1913,8.1329,81.81,67,81,7.05,broken clouds
Kankon,IN,15.0167,74.0167,82.6,77,84,12.95,broken clouds
Ortigueira,BR,-24.2083,-50.9494,64.24,52,100,1.74,overcast clouds
Hanchuan,CN,30.65,113.7667,68.11,95,89,4.5,overcast clouds
Mananjary,MG,-21.2167,48.3333,67.93,87,0,2.91,clear sky
Makat,KZ,47.6469,53.3463,82.98,29,100,19.53,overcast clouds
New Glasgow,CA,45.5834,-62.6486,82.4,51,99,9.22,overcast clouds
Tura,IN,25.5198,90.2201,71.44,89,21,5.23,few clouds
Banda Aceh,ID,5.5577,95.3222,80.04,83,100,12.68,overcast clouds
Bahia Honda,CU,22.9036,-83.1592,85.48,60,3,13.38,clear sky
Nakur,IN,29.9167,77.3,85.86,15,0,3.85,clear sky
Rovereto,IT,45.8896,11.0387,62.01,95,8,10.0,clear sky
Kinston,US,35.2627,-77.5816,93.52,40,1,3.44,clear sky
Charlottesville,US,38.0293,-78.4767,94.32,52,1,5.99,clear sky
Kanniyakumari,IN,8.0833,77.5667,79.05,85,100,21.77,overcast clouds
Hofn,IS,64.2539,-15.2082,48.22,66,20,16.11,few clouds
Taltal,CL,-25.4,-70.4833,68.09,64,100,3.51,overcast clouds
Zyryanka,RU,65.75,150.85,49.89,58,100,4.36,overcast clouds
Corowa,AU,-36.0333,146.3833,43.41,95,5,3.51,clear sky
Bougouni,ML,11.417,-7.479,95.41,25,12,4.88,few clouds
Yatou,CN,37.15,122.3833,58.64,93,58,10.74,broken clouds
Westport,US,41.1415,-73.3579,92.28,72,1,1.01,clear sky
Neiafu,TO,-18.65,-173.9833,70.48,94,75,0.0,light rain
Banyo,CM,6.75,11.8167,67.19,90,99,1.92,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,34.3,97,100,3.96,light rain
Maneadero,MX,31.7167,-116.5667,71.19,77,97,8.99,overcast clouds
Barra Da Estiva,BR,-13.6261,-41.3269,80.11,31,32,7.63,scattered clouds
Omalur,IN,11.741,78.0456,77.13,83,100,4.43,overcast clouds
Verkhoturye,RU,58.8627,60.8054,45.5,89,100,6.67,overcast clouds
Kloulklubed,PW,7.0419,134.2556,75.7,79,100,8.95,overcast clouds
Maymyo,MM,22.0333,96.4667,67.59,82,76,1.28,broken clouds
Ballina,AU,-28.8667,153.5667,58.96,89,40,10.36,scattered clouds
Strelka,RU,58.0728,93.0344,37.06,55,56,0.47,broken clouds
Smithers,CA,54.7804,-127.1743,44.92,81,90,3.44,light rain
Teahupoo,PF,-17.8333,-149.2667,82.4,74,20,1.14,few clouds
