City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Hermanus,ZA,2021-05-25 19:54:59,-34.4187,19.2345,57.9,75,97,8.28
59,Sulangan,PH,2021-05-25 19:54:59,11.1373,123.7228,82.96,76,100,1.39
60,Orlik,RU,2021-05-25 19:55:00,52.5178,99.825,38.71,100,100,3.2
61,Cabo San Lucas,MX,2021-05-25 19:55:00,22.8909,-109.9124,97.81,55,18,5.61
62,Cape Town,ZA,2021-05-25 19:52:48,-33.9258,18.4232,58.12,78,0,1.01
63,Vardo,NO,2021-05-25 19:55:00,70.3705,31.1107,37.6,80,75,2.3
64,Artyom,AZ,2021-05-25 19:55:00,40.4723,50.333,66.34,86,100,31.18
65,East London,ZA,2021-05-25 19:55:01,-33.0153,27.9116,68.2,77,100,7.63
66,Mataura,NZ,2021-05-25 19:55:01,-46.1927,168.8643,32.34,71,83,3.06
67,Qaanaaq,GL,2021-05-25 19:55:01,77.484,-69.3632,33.08,76,0,5.37
68,Yuzhno-Kurilsk,RU,2021-05-25 19:55:01,44.0306,145.8556,43.88,96,99,3.02
69,Grand-Lahou,CI,2021-05-25 19:55:02,5.1367,-5.0242,80.64,84,100,7.47
70,Pemba,MZ,2021-05-25 19:55:02,-12.974,40.5178,75.9,83,20,10.0
71,Kavaratti,IN,2021-05-25 19:55:02,10.5669,72.642,83.39,77,100,16.8
72,Bende,NG,2021-05-25 19:55:02,5.5572,7.6368,75.72,94,100,4.41
73,Sorong,ID,2021-05-25 19:55:03,-0.8833,131.25,76.98,92,100,15.82
74,Srednekolymsk,RU,2021-05-25 19:55:03,67.45,153.6833,48.16,61,100,16.87
75,Upernavik,GL,2021-05-25 19:55:03,72.7868,-56.1549,35.71,85,88,6.89
76,Siocon,PH,2021-05-25 19:55:04,7.7061,122.1353,79.59,85,87,2.1
77,Vaini,TO,2021-05-25 19:55:04,-21.2,-175.2,66.36,94,75,5.75
78,Thompson,CA,2021-05-25 19:55:04,55.7435,-97.8558,28.56,80,90,20.71
79,Salalah,OM,2021-05-25 19:55:04,17.0151,54.0924,80.56,78,23,8.57
80,Kodiak,US,2021-05-25 19:55:04,57.79,-152.4072,52.39,59,0,3.4
81,Luocheng,CN,2021-05-25 19:55:05,29.3848,104.0286,62.83,91,100,2.93
82,Mar Del Plata,AR,2021-05-25 19:52:23,-38.0023,-57.5575,57.09,59,75,8.01
83,Gat,IL,2021-05-25 19:55:05,31.61,34.7642,73.81,55,0,5.14
84,Butaritari,KI,2021-05-25 19:55:05,3.0707,172.7902,81.34,80,100,15.43
85,Vestmannaeyjar,IS,2021-05-25 19:55:06,63.4427,-20.2734,45.77,88,84,23.58
86,Careiro Da Varzea,BR,2021-05-25 19:55:06,-3.2003,-59.8119,86.63,67,94,4.47
87,Bubaque,GW,2021-05-25 19:55:06,11.2833,-15.8333,80.19,74,60,16.31
88,Lolodorf,CM,2021-05-25 19:55:06,3.2333,10.7333,71.94,100,100,2.53
89,Solnechnyy,RU,2021-05-25 19:55:06,50.7214,136.6319,33.57,96,100,5.59
90,Ceres,US,2021-05-25 19:55:07,37.5949,-120.9577,86.04,15,1,10.96
91,Yining,CN,2021-05-25 19:55:07,29.0361,114.5636,68.14,95,99,2.64
92,Jalu,LY,2021-05-25 19:55:07,29.0331,21.5482,86.25,10,0,8.23
93,Bluff,NZ,2021-05-25 19:55:07,-46.6,168.3333,39.72,70,46,7.14
94,Hanko,FI,2021-05-25 19:55:08,59.8333,22.95,53.06,84,100,22.01
95,Anito,PH,2021-05-25 19:55:08,12.4497,125.2886,78.84,88,94,3.6
96,Itarema,BR,2021-05-25 19:55:08,-2.9248,-39.9167,80.04,75,60,13.76
97,Pevek,RU,2021-05-25 19:55:08,69.7008,170.3133,31.5,79,98,3.85
98,New Norfolk,AU,2021-05-25 19:55:09,-42.7826,147.0587,51.58,72,26,3.51
99,Esperance,AU,2021-05-25 19:55:09,-33.8667,121.9,48.04,82,36,9.06
100,Constitucion,CL,2021-05-25 19:55:09,-35.3333,-72.4167,61.18,66,100,12.28
101,Isiro,CD,2021-05-25 19:55:09,2.7739,27.616,67.55,97,72,1.3
102,Rantepao,ID,2021-05-25 19:54:15,-2.9701,119.8978,66.52,97,97,1.3
103,Arraial Do Cabo,BR,2021-05-25 19:55:10,-22.9661,-42.0278,73.26,53,0,2.3
104,Marsa Matruh,EG,2021-05-25 19:55:10,31.3525,27.2453,71.8,88,0,5.75
105,Asau,RO,2021-05-25 19:55:10,46.4333,26.4,62.76,95,27,3.65
106,Vila Velha,BR,2021-05-25 19:55:10,-20.3297,-40.2925,73.35,79,75,8.01
